,CONTENT
243,Sem problemas Jones :-)  Agradeço pela atenção.
244,Olá Gean! Infelizmente por hora não trabalho com consultoria :( Mas se precisarem de alguma dica bem específica...
245,"Jones, bom dia, tudo bem?  Gostaria de saber se você tem disponibilidade para conversarmos um pouco sobre uma possível consultoria para uma necessidade da empresa que trabalho.  Estamos pensando em desenvolver uma aplicação que monte recomendações personalizadas de produtos, para os nossos clientes, baseados em Machine Learning.  Você tem interesse/consegue nos apoiar?"
246,"Prezado. Cumprimentos cordiais. Gostaria de saber se existe algum interesse em sua pessoa sobre as minhas ideias e ideais, que são: 1) Plano de Saúde PET. 2) Irrigação do Nordeste com água salina para criação de pescado. 3) ""Uber de psicologia"". 4) ""Uber de advocacia"". 5) Fábrica de gafanhotos para digestão do lixo orgânico, afim de fornecer alimento para escorpião. At.te PensadorOusado. Obs: Seu feedback irá contribuir em muito. Obs 2: Não pretendo monetizar com os canais. (Proposta apenas)."
247,"Olá Lauro,  Que bom que o material está ajudando :)  Já marquei aqui um curso sobre matemática, provavelmente para o ano que vem   Jones"
248,"Olá Jones, tudo bem ? Cara eu fiz alguns cursos seus e assim foi meu primeiro passo para o mundo de Data Science, primeiro gostaria de agradecer pelo trabalho incrível que de fato mudou minha vida e minha carreira.  Outra coisa que queria falar é que gostaria muito de sugerir que você fizesse um curso mais avançado para matemática aplicada em IA, acho que seria muito interessante e importante atuar nessa parte, onde vi muitos poucos cursos .  Obrigado desde já!!"
249,Obrigado Jones   Pela partilha do grupo.   Qualquer assunto dispõe.   Até breve   Um abraço
250,Valeu Cleber :)
251,Comecei o seu curso há alguns dias. Parabéns pelo conteúdo! 
252,"Livro deep learning com python. Eu vou me inscrever no seu curso, eu só estou me organizando aqui com o inícios das atividades do mestrado rs."
253,Sobre qual assunto específico?
254,Obrigado Jones. Tem algum livro que você recomenda?
255,Legal Antonio! Qualquer coisa é só avisar :)
256,"Bom dia, Jonas.  Sim recebi, inclusive passei para o link dos cursos para o meu coordenador do mestrado. Acredito que eu estarei fazendo a matrícula para fazer os cursos. Tenho interesse em fazer uma dissertação utilizando o deep learning com python."
257,Olá Antonio! Já recebeu a resposta pelo fale conosco?
258,Muito obrigado por me aceitar na sua rede de contatos.
259,"Bom dia, Jones.   Fiquei interessado nos seus cursos, ontem à noite eu mandei uma pergunta lá no Fale Conosco. Assim que eu tiver um retorno eu analiso se inicio o meu estudo agora. Forte Abraço."
260,Legal!! Espero que goste :)
261,"acho que vou comprar o teu curso de redes neurais, tá me ajudando bastante as suas dicas pro mestrado :=]"
262,Blza valeu
263,Olá Danilo! Sobre esse assunto não tenho :(
264,"boa noite, vc tem algum material sobre lógica fuzzy? especificadamente Wang Mendel?"
265,:=]
266,Olá Danilo! Que bom que o material foi útil :)
267,"olá Professor, sou aluno do mestrado da UTFPR e utilizei o seu curso de algoritmos genéticos para resolver o problema da mochila. valeu"
268,Mas ok
269,Mas eu precisava aproveitar o final de semana 
270,OK
271,"Olá Geraldo,  Poste a dúvida lá no fórum do curso na Udemy, que por lá é mais fácil pra responder :)  Jones"
272,"Jones, bom dia.  Obrigado por me aceitar em sua rede.  Cheguei até o seu contato porque achei seu curso de Tensorflow  na Udemy  No entanto estou em dúvida entre Tensorflow e Dialogflow.  Eu preciso criar um Chatbot para o Tesouro Nacional, ña inverdade um MVP, e tenho pouco tempo.  Logicamente vc indica o Tensorflow  mas vc poderia me justificar o seu uso.  Obrigado....  PS. Caso queira participar, estamos num grupo concorrendo a um prêmio que não é interessante em termos financeiros mas pode ser a porta de entrada para uma GovTech"
273,"Olá Lucas,  Manda uma mensagem para o Dalton Vargas, que é co-autor do curso :)  Jones"
274,"Bom dia professor tudo bem?  Comprei um curso seu na udemy sobre rastreamento de objetos, pois estou trabalhando em um projeto pro ramo varejista que envolveria essa tecnologia...  Só que meus meros conhecimentos iniciantes não vão conseguir resolver o problema hahaha.  Gostaria de saber se vc da algum tipo de consultoria, e como funcionária caso dê consultoria.  Att."
275,Olá Aline! Que bom que está gostando das aulas :)
276,Olá Jones Iniciei essa semana o curso da Udemy Machine Learning e Data Science com R. Estou gostando muito das aulas e didática.  Abraço Aline
277,Que tal Content Syndication – conteúdo distribuído - no maior portal brasileiro de identificação digital? Fale conosco! contato@cryptoid.com.br | +55 11 3881 0019.  Surpreenda-se com nosso público. https://drive.google.com/file/d/1Jw2FAY6h9LoyQpNXcTgFp2GBu53VwXM3/view
278,"Não consigo opinar, que não chegou a ver o material deles..."
279,Eu pensei no Data Science Academy... O que acha?
280,"Olá Roberto! Pior que não sei de nenhuma indicação. Mas caso queira me passar alguns links de alguns cursos, pode sugerir algo :)"
281,"Olá Jones, fui um de seus alunos da Udemy e fiz outros totalizando mais de 60 horas de Ciência de Dados e ML. Agora, gostaria de fazer uma especialização mais completa em alguma universidade online, após a qual eu pudesse me lançar em alguma vaga real do mercado. Poderia indicar algo?"
282,"Só detalhar o que precisa, aí mande para jones@iaexpert.com.br"
283,Legal! Você quer que eu detalhe mais ou reformate para a newsletter?
284,"Olá Olavo! Não lembro de ninguém no momento, mas o que consigo fazer é repassar junto na newsletter do IA Expert"
285,"Bom dia, Jones. Tudo bem? Eu comecei a estudar alguns modelos preditivos (SVM) usando neuro imagens no PRoNTo (extensão do SPM no MATLAB) e estou encontrando algumas dificuldades na parte de construção das matrizes de input dos dados. Você tem alguma pessoa na sua rede de contatos que faz estudos semelhantes para me conectar?"
286,Ta ok!
287,"A ideia é legal! Manda um e-mail para jones@iaexpert.com.br, que por lá fica mais fácil lhe passar os dados"
288,"Estava pensando em fazer, alguns artigos para classificação de vegetação, mas não são usando programação por horas, irei usar plugins do Qgis já implementados, mas vou comentar a documentação e tudo mais"
289,Opa! Só me passar a proposta do artigo
290,"Tirar uma dúvida hehe, você tinha me falado uma vez no insta que a gente aluno poderia postar artigos no IA Expert, como faz para fazer isso?"
291,"Opa, boa noite!"
292,Boa tarde grande Jones!
293,"Onrigada, Jones!"
294,"Olá Mariane, Não trabalho com esse tipo de consultoria. Mas se precisar de algo específico mande para o e-mail jones@iaexpert.com.br Jones"
295,"Boa tarde Jones, tudo bem? Estou fazendo seru curso no Udemy e estou gostando bastante. Estou trabalhando com machine learning no meu mestrado, mas eu sou da áreas das agrárias, então não tenho tanta familiaridade assim com o tema, ainda. Gostaria de saber se você dá algum tipo de consultoria particular, gostaria de tirar algumas dúvidas com você. Se sim, qual o valor você cobra por esse tipo de serviço? Muito obrigada desde já. Abraços,  Mariane"
296,Eu que te agradeço!!!
297,Por nada!
298,👍
299,Valeu Phillip! :)
300,"Boa noite, Jones! Obrigado por me aceitar na sua rede! Seja bem vindo!!! Espero que tudo esteja bem com você!!! Estou à disposição no que for possível!!! Um abraço!!!"
301,Rafael Gallo removed Jones Granatyr from the conversation.
303,"Olá Edyene,  Por hora não tem previsão de um curso sobre esse assunto :(  Jones"
304,"Olá, estou fazendo alguns cursos que você leciona na Udemy. Fiz estes dias o ARS e gostei bastante. Pretendo aplicar em breve.  Queria ver com você a possiblidade de fazer um curso de Monte Carlo Tree Search. Acredito que ele seja o algoritmo que estou precisando no momento.  Preciso muito aplicar em um projeto mas estou apanhando horrores! Se fizer me avisa por favor, preciso urgente!  Att.  Edyene Oliveira"
305,"Aham, não é um assunto muito conhecido, principalmente as diferenças"
306,eu sou um apaixonado pela econometria!...olha a diferença entre a econometria e data science https://mru.org/courses/mastering-econometrics/whats-difference-between-econometrics-and-data-science
307,Bem interessante!
308,"Jones, veja que interessante ! https://mru.org/courses/mastering-econometrics/are-machine-learning-and-big-data-changing-econometrics"
309,maravilha!  😀
310,"Isso, manda por e-mail sua ideia :)"
311,"Oi Jones! Primeiramente muito obrigado por me responder rapidamente!! Estou bem impressionado com a qualidade de seu trabalho (inclusive comprei um curso seu no Udemy...heheheh)....vou te escrever como uma idéia de projeto, algo bem simples e rápido de se compreender....como sempre usei os dados nas áreas de negócios e sou um apaixonado por econometria, queria difundir seu uso para aqueles que precisam compreender melhor que os princípios fundamentais da Ciência da Economia são excelentes de serem conhecidos antes de rodarmos qualquer modelo!!! Forte abraço!"
312,"Estou bem perto de Curitiba, minha esposa estava se mudando para lá no início do ano mas não deu certo por causa do vírus"
313,"Olá Rodrigo! Legal! Manda a ideia do curso para o e-mail jones@iaexpert.com.br, que por lá fica mais fácil para conversarmos"
314,"Oi Jones, morei durante adolescência em Porto União da Vitória e atualmente resido em Curitiba. Sou economista e sou apaixonado pelo campo da econometria! Tenho trabalhado desde o meu mestrado com muita estatística e cálculo computacional e uso muito o Overleaf onde integro o Knitr com o R....estou pensando em criar um curso no Udemy....queria sua opinião já que seu sucesso profissional me inspira!"
315,Te mandei lá! 
316,"Perfeito, não sei como agradecer! Obrigada, Jones!"
317,"Olá Luiza! Manda para o e-mail jones@iaexpert.com.br, se for algo bem específico posso ajudar :)"
318,"Vi seu material referente ao Shell expert sinta, mas me surgiram algumas dúvidas. Será que você pode me dar um auxílio?"
319,Tudo bem?
320,"Olá, Jonas! Bom dia! Obrigada por ter aceito meu convite "
321,"Indiquei a promoção para pessoas que não são suas alunas ainda. Pra quem não é aluno, é valida promo?"
322,"pensei que o cartão ia bloquear, 4x o mesmo valor, de seguidinha... algoritmos não pegaram...hehehe"
323,Blz! :)
324,"Foram lá, 4 compras. Msgs enviadas. Abs"
325,parabens
326,seu material eh maravilhoso
327,Blz!
328,"eu vi la, mas so pra confirmar"
329,sistema da udemy não aplica o cupom se comprar junto
330,"um de cada vez, conforme a regra"
331,numa passada de cartao
332,posso comprar 4 de uma vez so?
333,"manda tudo por lá, que estou deixando centralizado"
334,o que prefere? posso comprar 4 de uma vez so?
335,"mandar a lista por msg la, ou pode ser por aqui?"
336,hahaha
337,hehehehe
338,vou fazer uma limpa entao
339,"Isso mesmo, não tem limite...a cada 1 comprado escolhe mais 2"
340,tenho uma lista com 10 de seus cursos aqui que queria ter comprado ja
341,posso comprar 3 e escolher mais 6 ?
342,"sobre sua promocao, é cumulativa?"
343,"Olá Joviano! Sobre a edição depende muito, mas tenho funcionário específico para editar os vídeos. Estou fazendo um curso com parceiro que a pessoa já tem experiência em gravação/edição e está fazendo toda essa parte  Sobre a aula on-line ao vivo, não consigo fazer essa modalidade de conteúdo"
344,"Jones, Tem uma empresa, de amigos, que estão em busca de professor de Python, para dar aula via Microsoft Teams (ao vivo), para formar 2 profissionais em Python. Ou seja, indo do zero, aos modelos iniciais de Machine Learning. Eles não abrem mão em ser AOVIVO. Não sei como é sua vida, mas, se fosse para eu te indicar, poderia?"
345,"No caso, tanto vc quando o outro professor conseguem editar o curso? Ou só 1 de vcs?"
346,"Vi q o amigo tem uns cursos na Udemy com mais professores, e que todos os professores aparecem no rol do curso"
347,"Jones, uma pergunta de caráter operacional"
348,Verdade hahaha
349,"o pior que essa naba é viciante, o cara começa a olhar pra tudo e imaginar um algoritmo classificando ou aplicando regressão.... pior que drogas..."
350,"ainda não, as ideias estão brotando, e necessidades na empresa tbem... espero criar algo legal, por em operacao, e só lecionar, de algo que eu fiz"
351,Vai lançar algum curso na área de IA?
352,"Como professor estou trabalhando na ementa de 5 cursos. Como aluno, na udemy, estou intercalando 2 seus... A) IA aplic em negócios (adq hoje); B) deep Learning de AZ (esse dei uma pegada no início, parei, e devo retomar assim q terminar uns no Alura)"
353,Fazendo como aluno ou como professor?
354,Legal seus cursos! :) Está fazendo qual agora? hehe
355,"Ola Jones,  segue: https://www.udemy.com/user/joviano-silveira/ Hoje esta olhando seus cursos, e fiz mais uma aquisição...hehehehe"
356,Bem legais esses conteúdos! Se puder me passar o link dos cursos. Numa dessas fazemos uma parceria ou algo do tipo :)
357,Mas...só meu 3 mês como professor online
358,O q tá vendendo pra mim eh indicações e linkedin
359,"Pensei em por na Hotmart, mas pensei... Hotmart serão só vendas pelas minhas forças...daí decidi vender por mim, ficar com os 97% da udemy, e deixar eles vender alguns (só q sem aquelas promoções loucas)"
360,"Tenho 3 cursos, Um de powerquery (18horas), outro de views no SQL para usar no Power BI e Excel via powerquery (6horas), e introdução a lógica de programação (2horas-free snack)"
361,"Eu notei que desde ano passado a Udemy está mais fraca para vendas, os meus cursos que vendem mais são aqueles com mais alunos (machine learning e deep learning). Os novos cursos vendem muito pouco no orgânico :("
362,Fico feliz que esteja divulgando! :) Quais são seus cursos na Udemy?
363,"Show, vou continuar lhe indicando. Sei nome bombando ontem nos grupos de ML que participo"
364,"Tbem tô passando por essa ""brochada"" com udemy"
365,"Na udemy eh massa, mas o come come de recursos eh foda Lah."
366,"Olá Joviano! Pior que não tenho, eu parei de divulgar os cursos da Udemy e agora estou focando somente na assinatura direto no site"
367,"tens algum site, com links da udemy que te comissionem nos 97% Também sou instrutor, e sei como doi, vender cursos, e eles morder 50% a 75%... Se tiver me passa, que sou seu aluno e divulgador do teu trabalho"
368,"Isso mesmo Joviano! Os cursos são os mesmos, porém, ainda faltam adicionar alguns que estão na Udemy e não estão no site"
369,"professor, os cursos que estão no seu site são os mesmos da Udemy? Se eu fizer assinatura la, tenho acesso a seus cursos pelo periodo da assinatura (estilo netflix)?"
370,Que bom que está gostando dos cursos :)
371,"Valeu, JOVIANO"
372,"Professor, Parabéns pela didatica e organização em seus cursos. Tem muita gente por aí querendo ensinar, mas vc cativa a gente... parabéns."
373,"Olá professor, Sou seu aluno na Udemy, Gostaria de fazer parte de sua rede. Desde já, agradeço"
374,Hehe sem problema! Obrigado Jones
375,Pior que com esse tema não tenho :(
376,"Desculpe,  digitei errado teu nome Jones"
377,"Obrigado Jobes, mas não precisa,  eu que estou querendo aprender para fazer várias aplicações. Se você tivesse um curso com o tema eu com certeza faria.  Você tem algum que aborde o tema para me indicar?"
378,"Se precisar de uma ajuda mais específica, posso enviar mensagem para minha lista de alunos"
379,Mas a integração que busco é apenas de software.
380,"Tudo bem,  obrigado Jones! "
381,"Olá Luiz! Não trabalho muito na área de automação, mas sei que a linguagem tem várias integrações com hardwares"
382,"Boa noite Jones, como vai? Gostaria de saber se apenas com python consigo fazer automações em softwares de engenharia mecânica como solidworks,  autocad,  CREO... ?"
383,Obrigado Ana Paula :)
384,Claro! Estamos à disponível! É legal ter uma outra opinião sim. Fique à vontade!
385,"Nossa, ontem mesmo fechei com uma advogada pra fazer todos os documentos! Mas seria legal ter uma outra opinião também  Assim que eu postar os termos no site, eu entro em contato e podemos fazer um consultoria para vocês analisarem :)"
386,"Precisa de auxílio na questão de adequação à LGPD? Eu e minha colega Michele podemos auxiliar. Fomos alunas na especialização do Marcel Leonardi que é um advogado expoente nesse assunto, inclusive auxiliou na redação da lei. Me manda uma mensagem se precisar: 11920018526  Abraço!"
387,No convite para sermos amigos no LinkedIn
388,Olá Ana Paula! Aqui não chegou nada
389,"Fiquei na dúvida se a minha anotação foi junto com o convite, vc me avisa?"
390,Manda uma descrição exatamente do profissional que está procurando. Envie para jones@iaexpert.com.br
391,"Claro, pode ser sim. Te agradeço desde já. Abraço "
392,"Olá Daniel! Infelizmente não consigo ajudar muito, que não estou trabalhando com consultoria. Mas se quiser eu posso enviar para minha lista de alunos, o que acha?"
393,"Oi Jones, tudo bem? É isso mesmo, uma assessoria. A idéia da plataforma é coletar dados da prescrição médica, parâmetros do próprio paciente e fazer um track record do paciente ao longo do tratamento. Com a massa de dados a plataforma vai aprendendo e recomendando dosagens e medicações de acordo com o diagnóstico e características dos próximos pacientes. Para algumas medicações isso faz bastante sentido..  Quero ter clareza do que seria um projeto desse, tecnologias, tempo para executar...Seria bom marcarmos um call para te explicar melhor e entendermos como pode me ajudar.  Abraço"
394,"Olá Daniel! A ideia é tipo uma consultoria nessa área? Que se for eu posso dar algumas dicas, mas não trabalho com o desenvolvimento em sim. Se quiser passar mais detalhes que posso ver como ajudar :)"
395,"Oi Jones, tudo bem?  Te encontrei pesquisando IA na rede. Estou estudando um projeto de suporte a decisão para médicos em uma área da saúde. Gostaria de trocar uma idéia e entender como você pode ajudar.  Se tiver interesse me manda um whatts que marcamos um call.  48 99624-6113  Abraço Daniel"
396,Bem interessante! Vou analisar melhor :) Obrigado!
397,"Obrigado por me aceitar!  A ContaJÁ é um escritório de Contabilidade completo, prestamos os mesmos serviço de um escritório tradicional a diferença é que fazemos tudo apoiado em tecnologia de ponta e de maneira 100% online. Aliado isso nossos clientes contam com um super atendimento!  Dessa forma podemos proporcionar muito mais economia, simplicidade e produtividade no seu dia a dia!  Atendemos em todo Brasil, atualmente estamos presentes em mais de 70 municípios brasileiros, com centenas de clientes satisfeitos, porem, a expectativa é que esse número aumente progressivamente.  Na ContaJÁ você tem as seguintes vantagens:  - Economiza até 90% com honorários contábeis a partir de R$ 99,90.  - Acessa todas as informações da sua empresa através de uma moderna plataforma online, pelo celular ou pc.  - É atendido por contadores exclusivos pelo Whatsapp em todo horário comercial.  Estou encaminhando abaixo a nossa postagem feita aqui no LinkedIn com um pequeno vídeo apresentando nosso escritório de Contabilidade Online:  https://www.linkedin.com/posts/contaja_contaj%C3%A1-contabilidade-online-ugcPost-6602713462500061184-xyop  Se a nossa proposta lhe interessar, pode me chamar aqui que será um prazer preparar um orçamento pra você e também lhe explicar tudo em detalhes sobre nosso escritório digital!  Tenha uma ótima semana!😀"
398,Olá Alan!
399,"Olá Jones, tudo bem? Somos um escritório de contabilidade digital. Prestamos o mesmo serviço de um escritório tradicional porém online, com foco total no cliente, nossas mensalidades são a partir de R$ 99,90. Tenho uma proposta, poderia me aceitar por favor? www.contaja.com.br"
400,Legal que os cursos estão ajudando :)
401,"Valeu por aceitar professor. Tenho muitos dos seus cursos na udemy, me salvam muitas vezes durante o dia a dia. Abraços"
402,🙏
403,"Olá José Carlos! Valeu pelo convite, já adicionei :)"
404,"Olá Jones ! Como vai? Tudo bem!? Aqui vai o meu convite de conexão. Será um prazer estar com você no LinkedIn. Que isso gere bons frutos profissionais a todos nós. Sucesso, boa Sorte e bons Negócios - Sempre! Abraços, Couto 'boas coisas estão acontecendo...'"
405,"queria saber, como poderia sair dessa situação, ou pelo menos um sinal de como aplicar ou como procurar trabalho"
406,"estou cercado pela procura de empregos na área de web, e não é um area que tenho afinidade"
407,"professor, sou Isaac e tenho assistido vários cursos e videos do seu site/ curso Udemy, e realmente quero me destacar na área de IA. Mas estou em uma cidade onde não existe muitas aplicações e trabalhos na área"
408,Boa noite
409,Hi Sean! I hope you like the course :)
410,"Afternoon Jones,  Just taking your new course Neural Networks. I was hoping to add you to my most awesome network!!  Cheers, Sean"
411,Já confirmei :)
412,"Valeu, Edrian Augusto"
413,"Ola Jones, adquiri alguns de seus cursos e gostaria de acompanha-lo nessa rede social. Abs"
414,Parabéns pelo seu aniversário de empresa!
415,:)
416,Glad to connect with you.  I have strong passion on predictive analytics and technology.
417,Valeu Douglas! :)
418,"Prezado Jones. Muito obrigado por me aceitar. Conheci você pelo Udemy, confesso que estou de olho no seu curso ML e Data Science com R de A á Z , somente pelas aulas prévias consegui notar sua didática, que por ventura, é excelente. Pode ter certeza que vai ganhar mais um aluno haha Abraços e sucessos."
419,"Valeu, Willian"
420,"Boa tarde professor, enviei o convite porque gostaria de fazer parte da sua rede profissional de contatos, tenho feito seus cursos de IA e tem me ajudado muito e agregado valor à minha carreira. Forte abraço e sucesso!"
421,"Olá Francisnei! Sugiro enviar a mensagem para o prof. Fernando Amaral, ele que é o ""dono"" do curso e pode indicar melhor :)"
422,"Olá Jones,  Sou aluno do seu curso de Cientista de Dados Python e R, finalizei a aprt de python, R e etc.., agora estou fazendo as porte de SQL E MONGODB, gostaria de saber se pra efetuar a prova final, sem estes módulos concluídos, se já reúno condições para a prova? E caso não atinja o mínimo necessário, quantas vezes eu poderei refazer o teste?  "
423,"Olá Francisnei! Que bom que está gostando do curso :) Tenho esse curso abaixo sobre o PyTorch, não é específico sobre visão computacional mas tem módulos sobre esse assunto  https://www.udemy.com/course/formacao-deep-learning-pytorch-python/?referralCode=EE79208B35A7ED11AFA4"
424,"Olá Jones, Estou fazendo seu curso de Cientista de Dados R e Python da Udemy, o qual estou gostando muito, porém gostaria de saber se você possui algum curso sobre visão computacional utilizando Python e Pytorch? Tenho formação em Sistemas Embarcados e gostaria de utilizar estas ferramentas em hardware com sistema operacional linux."
425,Olá Leonardo! Que bom que está gostando dos cursos :) Consegue enviar essa dúvida para o e-mail jones@iaexpert.com.br? Que por lá é mais fácil para responder :)
426,"Olá Jones, como vai?? Agradeço por aceitar o meu convite e fazer parte da minha rede. Tenho estudado deep learning ultimamente, adquiri alguns cursos seus na Udemy, parabéns pela ótima didática!! Queria ler sua opinião sobre um tema, é sobre os modelos de machine learning mais tradicionais versus o deep learning, durante o curso vc comenta que a maioria dos problemas atualmente, são problemas não linearmente separáveis, eu concordo com isso, minha dúvida: Por que ainda usamos os modelos tradicionais de machine learning? Pensando, eu acho que todo problema atualmente podem ser atacados com redes neurais e redes neurais profundas, faz sentido?"
427,Olá Gabriel! Já adicionei :) Que bom que está gostando das aulas
428,"Olá, Professor Jones. Tudo bom? Estou fazendo seu curso na Udemy (Machine Learning e Data Science com Python) e estou adorando, levando em contato que já fiz cursos sobre o tema anteriormente. Sua explicação é clara e as aulas vão direto ao ponto. Gostaria de fazer parte da sua rede contatos.  Abs. "
429,Daria pra ver algo. Qual sua ideia?
430,Exatamente.
431,Você pensou em algo relacionado aos meus cursos que já tenho?
432,"Desenvolve  um projeto voltado para Transformação Digital nas Pequenas e medias empresas.  Ele está estruturado  a partir de um modelo com 4 blocos (estrutura organizacional,pessoas, tecnologia e operações). Como você atua na parte de treinamento, q se encaixa justamente no bloco pessoas, podíamos pensar em tratativas especificas para atender o processo de TD nas organizações."
433,"Atualmente estou no Brasil, aguardo meu visto para Portugal (com a pandemia deve levar mais tempo). Consegue adiantar algo por aqui mesmo?"
434,Vc está em portugal? Tenho algo que pode ser interessante pra nós. Diga uma horário q podemos conversar  na sexta feira
435,"Por aqui está tudo certo, moro em cidade pequena e está bem tranquilo! E aí?"
436,"Olá!! Tudo bem com vc, como anda as coisas por ai?"
437,Olá Oberdan!
438,Olá!! Tudo bem?
439,"Olá Max! Já respondo seu e-mail, aí continuamos por lá :)"
440,"Oi Jones, tudo bem?  Eu trabalho em uma empresa com foco em CX chamada UOTZ. Nós estamos abrindo uma spin off na área de inteligência artifical voltado para marketing/mídia/branding.  Acho que você poderia ser um colaborador em rede conosco.  Podemos conversar?"
441,"Olá Jones, bom dia!  Sou aluno de um curso de doutorado em bitecnologia e estou tentando comprar seus cursos Machine Learning e Data Science com R de A à Z e Machine Learning e Data Science com Python de A a Z na Udemy, adicionei os cursos na sacola, mas na hora de concluir a compra, com cartão de crédito ou débito, boleto e paypal, todos dão erro.   Há alguma outra forma de adquirí-los?  Fiz contato com o suporte da Udemy para tentar resolver mas ainda não tive resposta.  Obrigado!"
442,"<p class=""spinmail-quill-editor__spin-break"">Oi, Jones</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Aqui é o José Estan, sócio da idwall, empresa em verificação de identidade.&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Queria entender como está o processo de cadastro de novos clientes na Dinosaur Answer, DA e como avaliam a autenticidade dos documentos enviados?</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">&nbsp;Atualmente, ajudamos mais de 200 empresas&nbsp;no cadastro de novos clientes e parceiros e na automação de compliance e gestão de risco. </p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">A partir do CPF ou CNPJ realizamos todas as consultas exigidas pelo Bacen como Receita Federal, CVM, quadro societário etc. Tudo isso integrado direto no seu fluxo.</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">A partir da foto de uma CNH ou RG e uma selfie, consigo:</p><p class=""spinmail-quill-editor__spin-break"">(i) extrair todos os dados do usuário;</p><p class=""spinmail-quill-editor__spin-break"">(ii) avaliar a autenticidade do documento;</p><p class=""spinmail-quill-editor__spin-break"">(iii) comparar a biometria facial com prova de vida, garantindo que a pessoa segurando o celular é a portadora do documento; e ainda</p><p class=""spinmail-quill-editor__spin-break"">(iv) devolver as consultas nos órgãos públicos (Mandados de Prisão, Antecedentes, CVM, PEP e mais de 200 outras fontes de informação).</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">E também temos validações para Pessoa Jurídica: a partir de um CNPJ, trazemos os sócios, situação cadastral, certidões de dívidas, entre outras informações.&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Te ajudamos a garantir um cadastro e validação de risco rápidos, seguros e com pouca fricção. Será que poderíamos marcar um rápido ligação (10 min)?</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Basta preencher o formulário que o meu time entrará em contato o quanto antes.</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Grande abraço,</p>"
443,"<p class=""spinmail-quill-editor__spin-break"">Olá, Jones</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Vimos que você pode ter interesse em participar do Dell Expert Network: o programa de relacionamento da Dell Technologies, que tem como objetivo apoiar profissionais autônomos de TI na geração de novos negócios, oferecendo capacitação e acesso a ferramentas de suporte e autogestão do parque de TI dos seus clientes.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Conheça algumas das vantagens desse programa global:</p><p class=""spinmail-quill-editor__spin-break"">• Atendimento dedicado por meio de gerentes de contas e especialistas técnicos, o que agiliza os processos e torna a negociação com seus clientes muito mais rápida e vantajosa;</p><p class=""spinmail-quill-editor__spin-break"">• Economia e promoções exclusivas para seus clientes;</p><p class=""spinmail-quill-editor__spin-break"">• Acesso ao aplicativo Expert Network. Por meio dele, você será informado sobre pontuação, campanhas, eventos, lançamentos de produtos e muito mais;</p><p class=""spinmail-quill-editor__spin-break"">• Acesso ao Education Hub, uma plataforma com cursos e certificações gratuitas das soluções Dell e dos parceiros;</p><p class=""spinmail-quill-editor__spin-break"">• Certificação oficial como Dell Expert Network Member (para membros da categoria Elite);</p><p class=""spinmail-quill-editor__spin-break"">• Pontuações e campanhas de incentivo com excelentes recompensas, incluindo produtos Dell.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Se houve interesse, é muito fácil se cadastrar*: basta ligar para o 0800 701 1293 ou preencher o formulário em https://www.dell.com/pt-br/work/shop/dell-expert-network/cp/dell-expert-network</p><p class=""spinmail-quill-editor__spin-break"">Estamos esperando por você!</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">*Todos os cadastros passam por um processo de análise para identificar se os pré-requisitos são atendidos.</p>"
